campaign_name,First Touch,Last Touch,Linear,Time Decay,Position Based
Brand_Keywords_Q4,4947.34,14843.03,10345.279047619048,11785.626300306869,10011.7911
RLSA_Retargeting,5474.58,14610.94,9963.442,11569.274753611548,10012.665033333335
Organic_Search,12976.17,7162.37,10272.483833333334,9643.200938120615,10182.080033333334
Competitor_Conquest_Q3,7162.02,12326.77,10093.189761904761,10577.908814308055,9812.374233333334
Blog_Traffic,10777.72,9149.89,9503.236214285715,9139.755682828349,9824.159933333334
Generic_Search_Q2,5293.54,13274.15,9289.922952380952,10764.97438611889,9130.522966666667
Brand_Keywords_Q1,5251.92,12218.380000000001,9293.449857142858,10002.75896922287,9077.1337
Lifestyle_Q3,14098.72,4774.63,8527.5885,7066.767597778968,9061.501
Valentine_Feb,11620.94,6047.49,8426.452976190476,7912.048639118768,8697.736233333333
Product_Page_SEO,10059.38,7815.53,8017.686333333333,7766.647627218443,8488.2703
Product_Keywords_Q4,3144.38,12003.27,7809.567047619047,8769.914054401397,7667.067033333334
Summer_Launch_Jun,10232.53,5305.47,8047.985833333333,7687.796907231249,7822.252366666667
Macro_Q1,10674.69,4729.67,7721.379666666667,6758.187160254059,7754.7577666666675
Bookmark_Return,6176.9800000000005,9509.98,6690.746047619047,7127.820625397736,7416.342866666667
BF_Retargeting_Nov,10462.95,3620.68,7590.5474047619045,6560.8061236157255,7333.485266666667
BF_Partners_Q4,9311.7,5536.79,6825.2949761904765,6376.050051892862,7150.806566666667
Direct_Traffic,4416.61,9517.14,5701.3015,6506.984966889397,6445.7857
Awareness_Jan,7818.24,5305.04,6403.808,6090.267324019896,6526.677066666667
Spring_Sale_Mar,8298.98,4354.91,6849.7055,5991.814062630913,6543.6297
VIP_Exclusive,4145.03,8162.86,5774.508476190476,6356.009808338105,6070.237633333333
Welcome_Series,4082.05,6643.8099999999995,6609.524976190476,6674.586906522231,5806.148233333333
Post_Purchase,3887.25,7139.08,6214.883261904762,6748.665151158721,5778.003166666667
Weekly_Newsletter,3197.95,8002.14,6087.436190476191,6655.579376464765,5773.1997
Xmas_Dec,7731.1,3980.5299999999997,6134.390357142857,5800.118942386015,5934.2773
Prospecting_Display,6497.95,4496.5199999999995,5696.3983333333335,5134.630594594217,5473.485633333334
Micro_Beauty_Q2,8647.89,2210.17,5748.861261904762,4713.185842444034,5652.208766666667
Back_to_School_Aug,6501.5599999999995,4495.78,5283.35819047619,5199.274120131372,5448.7174
Retargeting_Display,9049.33,2732.98,5060.316119047619,4460.935342641811,5537.109033333333
Win_Back_Campaign,2525.51,7359.34,5193.927880952381,5829.537206020445,5116.894433333334
YouTube_Preroll,7517.65,1999.88,4951.986857142857,4164.425893313649,4893.724666666667
(No Campaign),4877.15,4365.07,4332.729023809524,4466.2242637091795,4501.954833333333
Abandoned_Cart,2434.6,5600.12,4833.021619047619,4992.631567308842,4349.410333333333
