journey_id,customer_id,touchpoint_id,touchpoint_position,total_touchpoints,touchpoint_date,touchpoint_datetime,channel,channel_category,campaign_name,customer_segment,region,device_type,journey_converted,journey_order_value,first_touch_weight,first_touch_revenue,last_touch_weight,last_touch_revenue,linear_weight,linear_revenue,time_decay_weight,time_decay_revenue,position_based_weight,position_based_revenue
JRN-CUST-00002,CUST-00002,TP-0000004,1,5,2024-05-10,2024-05-10 00:00:00,Paid Social,Paid,Xmas_Dec,New Customer,North America,Mobile,1,86.09,1.0,86.09,0.0,0.0,0.2,17.218,0.11951480524338982,10.28902958340343,0.4,34.436
JRN-CUST-00002,CUST-00002,TP-0000005,2,5,2024-05-11,2024-05-11 00:00:00,Email,Owned,Abandoned_Cart,New Customer,North America,Mobile,1,86.09,0.0,0.0,0.0,0.0,0.2,17.218,0.15057921890023301,12.96336495512106,0.06666666666666667,5.739333333333334
JRN-CUST-00002,CUST-00002,TP-0000006,3,5,2024-05-12,2024-05-12 00:00:00,Paid Social,Paid,Awareness_Jan,New Customer,North America,Mobile,1,86.09,0.0,0.0,0.0,0.0,0.2,17.218,0.1897179275691315,16.332816384426533,0.06666666666666667,5.739333333333334
JRN-CUST-00002,CUST-00002,TP-0000007,4,5,2024-05-13,2024-05-13 00:00:00,Paid Social,Paid,Xmas_Dec,New Customer,North America,Tablet,1,86.09,0.0,0.0,0.0,0.0,0.2,17.218,0.23902961048677965,20.57805916680686,0.06666666666666667,5.739333333333334
JRN-CUST-00002,CUST-00002,TP-0000008,5,5,2024-05-14,2024-05-14 00:00:00,SEO/Organic,Earned,Blog_Traffic,New Customer,North America,Mobile,1,86.09,0.0,0.0,1.0,86.09,0.2,17.218,0.30115843780046603,25.92672991024212,0.4,34.436
JRN-CUST-00004,CUST-00004,TP-0000014,1,2,2024-01-03,2024-01-03 00:00:00,Influencer,Paid,BF_Partners_Q4,New Customer,North America,Mobile,1,79.6,1.0,79.6,0.0,0.0,0.5,39.8,0.38648820956430935,30.76446148131902,0.5,39.8
JRN-CUST-00004,CUST-00004,TP-0000015,2,2,2024-01-05,2024-01-05 00:00:00,Paid Social,Paid,Awareness_Jan,New Customer,North America,Mobile,1,79.6,0.0,0.0,1.0,79.6,0.5,39.8,0.6135117904356906,48.83553851868097,0.5,39.8
JRN-CUST-00008,CUST-00008,TP-0000022,1,6,2024-05-13,2024-05-13 00:00:00,Email,Owned,Abandoned_Cart,Loyal Customer,North America,Desktop,1,244.16,1.0,244.16,0.0,0.0,0.16666666666666666,40.69333333333333,0.0013836255530422189,0.3378260150307882,0.4,97.664
JRN-CUST-00008,CUST-00008,TP-0000023,2,6,2024-05-20,2024-05-20 00:00:00,Email,Owned,Win_Back_Campaign,Loyal Customer,North America,Tablet,1,244.16,0.0,0.0,0.0,0.0,0.16666666666666666,40.69333333333333,0.0069730358378013065,1.702536430157567,0.05,12.208
JRN-CUST-00008,CUST-00008,TP-0000024,3,6,2024-05-24,2024-05-24 00:00:00,Paid Search,Paid,Brand_Keywords_Q4,Loyal Customer,North America,Desktop,1,244.16,0.0,0.0,0.0,0.0,0.16666666666666666,40.69333333333333,0.017570949267434403,4.290122973136784,0.05,12.208
JRN-CUST-00008,CUST-00008,TP-0000025,4,6,2024-05-31,2024-05-31 00:00:00,Paid Social,Paid,Valentine_Feb,Loyal Customer,North America,Mobile,1,244.16,0.0,0.0,0.0,0.0,0.16666666666666666,40.69333333333333,0.08855203539470201,21.620864961970444,0.05,12.208
JRN-CUST-00008,CUST-00008,TP-0000026,5,6,2024-06-03,2024-06-03 00:00:00,Email,Owned,Abandoned_Cart,Loyal Customer,North America,Mobile,1,244.16,0.0,0.0,0.0,0.0,0.16666666666666666,40.69333333333333,0.17710407078940402,43.24172992394089,0.05,12.208
JRN-CUST-00008,CUST-00008,TP-0000027,6,6,2024-06-09,2024-06-09 00:00:00,Email,Owned,VIP_Exclusive,Loyal Customer,North America,Mobile,1,244.16,0.0,0.0,1.0,244.16,0.16666666666666666,40.69333333333333,0.7084162831576161,172.96691969576355,0.4,97.664
JRN-CUST-00009,CUST-00009,TP-0000028,1,4,2024-04-15,2024-04-15 00:00:00,Influencer,Paid,BF_Partners_Q4,VIP Customer,North America,Desktop,1,304.05,1.0,304.05,0.0,0.0,0.25,76.0125,0.06855230732585331,20.8433290424257,0.4,121.62
JRN-CUST-00009,CUST-00009,TP-0000029,2,4,2024-04-17,2024-04-17 00:00:00,Paid Search,Paid,Generic_Search_Q2,VIP Customer,North America,Desktop,1,304.05,0.0,0.0,0.0,0.0,0.25,76.0125,0.10882000476390685,33.08672244846588,0.1,30.405
JRN-CUST-00009,CUST-00009,TP-0000030,3,4,2024-04-21,2024-04-21 00:00:00,Paid Search,Paid,Generic_Search_Q2,VIP Customer,North America,Desktop,1,304.05,0.0,0.0,0.0,0.0,0.25,76.0125,0.27420922930341324,83.3733161697028,0.1,30.405
JRN-CUST-00009,CUST-00009,TP-0000031,4,4,2024-04-24,2024-04-24 00:00:00,Paid Search,Paid,Competitor_Conquest_Q3,VIP Customer,North America,Desktop,1,304.05,0.0,0.0,1.0,304.05,0.25,76.0125,0.5484184586068265,166.7466323394056,0.4,121.62
JRN-CUST-00010,CUST-00010,TP-0000032,1,6,2024-01-03,2024-01-03 00:00:00,Paid Search,Paid,Brand_Keywords_Q1,New Customer,Europe,Desktop,1,57.0,1.0,57.0,0.0,0.0,0.16666666666666666,9.5,0.028157836967557196,1.6049967071507603,0.4,22.8
JRN-CUST-00010,CUST-00010,TP-0000033,2,6,2024-01-04,2024-01-04 00:00:00,Paid Search,Paid,RLSA_Retargeting,New Customer,Europe,Mobile,1,57.0,0.0,0.0,0.0,0.0,0.16666666666666666,9.5,0.03547665151493335,2.022169136351201,0.05,2.85
JRN-CUST-00010,CUST-00010,TP-0000034,3,6,2024-01-08,2024-01-08 00:00:00,Paid Social,Paid,Spring_Sale_Mar,New Customer,Europe,Desktop,1,57.0,0.0,0.0,0.0,0.0,0.16666666666666666,9.5,0.08939556004689872,5.095546922673227,0.05,2.85
JRN-CUST-00010,CUST-00010,TP-0000035,4,6,2024-01-09,2024-01-09 00:00:00,Paid Search,Paid,Product_Keywords_Q4,New Customer,Europe,Desktop,1,57.0,0.0,0.0,0.0,0.0,0.16666666666666666,9.5,0.11263134787022881,6.419986828603042,0.05,2.85
JRN-CUST-00010,CUST-00010,TP-0000036,5,6,2024-01-13,2024-01-13 00:00:00,Email,Owned,Weekly_Newsletter,New Customer,Europe,Desktop,1,57.0,0.0,0.0,0.0,0.0,0.16666666666666666,9.5,0.28381321211946675,16.177353090809603,0.05,2.85
JRN-CUST-00010,CUST-00010,TP-0000037,6,6,2024-01-15,2024-01-15 00:00:00,Paid Social,Paid,Xmas_Dec,New Customer,Europe,Mobile,1,57.0,0.0,0.0,1.0,57.0,0.16666666666666666,9.5,0.45052539148091525,25.679947314412168,0.4,22.8
JRN-CUST-00011,CUST-00011,TP-0000038,1,3,2024-10-24,2024-10-24 00:00:00,SEO/Organic,Earned,Blog_Traffic,Loyal Customer,North America,Desktop,1,111.43,1.0,111.43,0.0,0.0,0.3333333333333333,37.14333333333333,0.23474613456150273,26.157761774188252,0.4,44.572
JRN-CUST-00011,CUST-00011,TP-0000039,2,3,2024-10-25,2024-10-25 00:00:00,Paid Search,Paid,Generic_Search_Q2,Loyal Customer,North America,Mobile,1,111.43,0.0,0.0,0.0,0.0,0.3333333333333333,37.14333333333333,0.2957615963154917,32.956714677435244,0.2,22.286
JRN-CUST-00011,CUST-00011,TP-0000040,3,3,2024-10-27,2024-10-27 00:00:00,Paid Search,Paid,Product_Keywords_Q4,Loyal Customer,North America,Mobile,1,111.43,0.0,0.0,1.0,111.43,0.3333333333333333,37.14333333333333,0.46949226912300546,52.315523548376504,0.4,44.572
JRN-CUST-00013,CUST-00013,TP-0000046,1,2,2024-08-19,2024-08-19 00:00:00,Email,Owned,Post_Purchase,Returning Customer,Latin America,Mobile,1,55.88,1.0,55.88,0.0,0.0,0.5,27.94,0.3864882095643094,21.59696115045361,0.5,27.94
JRN-CUST-00013,CUST-00013,TP-0000047,2,2,2024-08-21,2024-08-21 00:00:00,Influencer,Paid,BF_Partners_Q4,Returning Customer,Latin America,Mobile,1,55.88,0.0,0.0,1.0,55.88,0.5,27.94,0.6135117904356907,34.2830388495464,0.5,27.94
JRN-CUST-00014,CUST-00014,TP-0000048,1,5,2024-01-16,2024-01-16 00:00:00,Paid Social,Paid,Awareness_Jan,Returning Customer,Europe,Desktop,1,96.38,1.0,96.38,0.0,0.0,0.2,19.276,0.2,19.276,0.4,38.552
JRN-CUST-00014,CUST-00014,TP-0000049,2,5,2024-01-16,2024-01-16 00:00:00,Display,Paid,Retargeting_Display,Returning Customer,Europe,Mobile,1,96.38,0.0,0.0,0.0,0.0,0.2,19.276,0.2,19.276,0.06666666666666667,6.425333333333333
JRN-CUST-00014,CUST-00014,TP-0000050,3,5,2024-01-16,2024-01-16 00:00:00,Paid Social,Paid,Xmas_Dec,Returning Customer,Europe,,1,96.38,0.0,0.0,0.0,0.0,0.2,19.276,0.2,19.276,0.06666666666666667,6.425333333333333
